Temperature,Speed,Load,Ac_Use,Terrain_Slope,Wind_Speed,Driving_Mode,Weather_Condition,Vehicle_Age,Tire_Type,Night_Driving,Urban_Driving,Highway_Driving,Average_Passengers,Cruise_Control_Use,Regenerative_Braking_System,External_Humidity,Road_Condition,Heat_Pump_System,In_Car_Device_Count,Charging_Frequency,Months_Since_Last_Maintenance,Energy_Consumption
9.9816,63.6277,391.9993,0,2.1879,16.4966,0,2,1.4104,2,0,0,0,2.1706,1,1,1.299,2,0,4,2.6789,5.6873,11.3862
33.0286,59.9621,173.8048,0,-9.2219,40.8369,2,0,8.9361,2,1,1,1,2.1454,1,1,93.2911,2,1,2,2.1981,11.6909,24.2023
24.2798,45.8539,238.6559,1,2.2452,49.7188,2,2,1.4417,1,0,1,0,4.1357,0,0,43.6057,0,1,0,4.4167,10.9264,25.3816
18.9463,84.654,365.3123,0,-8.2066,42.0381,2,0,8.4029,0,0,0,0,1.4987,0,0,85.9734,2,1,2,0.6841,7.2791,18.9133
1.2407,72.8962,292.8357,1,4.2069,17.3071,2,1,6.9315,0,0,0,1,4.7277,1,0,43.1697,0,0,1,1.2327,1.3319,18.8664
1.2398,107.9131,395.4284,0,-2.1984,35.5626,1,1,3.4107,2,0,0,1,2.6538,1,1,11.7069,0,0,0,2.0682,6.4319,14.0594
-2.6767,32.8899,484.4832,0,6.7539,26.6962,2,1,3.2743,2,1,1,0,4.3757,0,0,10.5878,3,0,0,2.452,11.2864,20.8425
29.647,87.9481,146.6187,0,8.8506,39.3259,1,2,9.6605,2,1,0,1,4.1692,0,1,0.15,0,0,1,2.3607,4.6924,15.2526
19.0446,98.6654,383.8271,1,-1.6578,7.6549,1,2,1.9498,1,0,1,0,4.117,1,0,28.9755,3,1,2,6.3199,0.2694,22.8378
23.3229,98.3538,192.1377,1,-0.7889,31.9067,0,2,7.2296,0,0,0,1,3.6978,1,1,43.226,1,1,3,3.8372,8.2501,20.5047
-4.1766,109.7467,265.7907,0,1.803,38.6833,0,0,1.8368,1,1,1,0,2.9978,0,0,2.3856,2,0,2,4.6819,7.7371,12.6911
33.7964,95.613,113.1451,0,-6.0573,38.0616,2,1,9.054,0,1,1,0,2.5596,0,1,45.384,2,1,2,6.8254,3.3899,17.2694
28.2977,113.5029,154.363,0,8.5467,48.1797,2,1,7.4194,2,0,1,0,3.3231,1,0,12.9754,3,0,3,5.3689,11.0949,22.5876
3.4936,59.9391,227.9109,0,-1.34,2.9206,0,0,9.327,0,0,0,0,3.1079,0,0,53.9726,2,0,3,2.5399,2.5706,7.4354
2.273,75.2888,236.7943,0,-6.6636,17.289,0,0,8.7911,1,0,0,1,2.4041,0,1,61.5386,1,1,3,2.7954,11.6502,11.4868
2.3362,31.2672,459.8341,0,5.2546,23.8277,1,1,5.495,2,1,1,1,2.9729,0,0,50.7705,0,0,1,2.7344,8.8923,19.7458
7.1697,30.6262,396.7252,0,-5.617,15.4882,2,1,1.5223,0,1,1,1,2.4604,1,0,51.7597,3,0,4,2.5602,11.0,22.5145
15.9903,51.6114,488.8732,1,-7.1294,15.4895,0,0,2.2146,1,1,1,1,3.6317,1,0,16.2384,1,1,1,3.4186,6.2683,24.5158
12.2778,39.0726,339.6286,1,1.2574,8.8064,0,0,2.0182,2,0,0,1,4.3401,0,1,59.8575,0,1,4,0.6609,6.9794,18.4552
6.6492,53.419,196.6855,0,3.4299,40.6476,1,1,2.2064,0,1,1,0,4.1476,1,1,97.6781,0,1,2,1.6235,5.7747,17.9832
19.4741,45.9339,231.062,0,1.3913,45.4035,1,1,4.7641,0,1,0,1,2.3628,0,1,97.5819,0,0,2,3.1482,7.7235,13.0974
0.5798,32.5668,227.9344,0,3.1302,4.1164,0,0,8.6779,1,0,1,1,3.0377,1,1,34.9144,1,1,2,4.8582,9.1923,12.8893
6.6858,111.8374,230.5977,0,-7.6895,7.7449,2,1,0.2311,2,0,0,0,1.0426,1,0,72.845,1,1,3,1.4572,1.0393,17.394
9.6545,30.7401,369.1857,0,-0.4796,11.4226,1,0,2.3848,0,0,0,1,4.4811,0,1,44.1572,3,1,0,1.6433,1.9044,11.9942
13.2428,96.2474,312.3232,0,-2.8596,25.4494,1,1,5.968,2,0,0,1,1.9816,1,0,13.776,1,0,0,2.6855,5.1643,13.5185
26.407,43.6933,254.1697,1,9.4674,39.5586,2,2,8.6532,2,0,0,0,2.7644,0,1,74.0379,1,1,3,3.8542,5.8241,22.0042
2.987,112.1007,159.6359,1,-9.0075,3.5728,0,2,2.9748,1,1,1,1,1.6102,1,0,34.4042,3,1,3,5.4234,10.0218,24.6987
15.5694,110.3516,108.8557,1,-4.0341,31.8406,0,1,3.8253,2,1,1,1,3.7124,0,1,76.0929,3,1,2,4.3357,10.8577,23.7397
18.6966,88.8511,187.5339,0,8.8372,7.4668,2,0,3.7343,2,1,0,1,3.1812,1,0,37.9377,3,0,4,0.4265,5.8091,21.355
-3.142,90.5011,142.9886,1,9.6699,48.5729,2,2,2.9369,0,0,1,0,2.4592,0,1,17.5015,2,1,0,0.6967,3.1658,22.6859
19.3018,30.4805,414.178,0,6.498,44.9387,1,0,6.9876,1,0,0,1,3.1408,0,1,85.302,1,0,1,1.9431,7.6422,12.2186
1.821,118.6384,144.9992,1,-8.48,47.4791,0,2,6.5581,2,0,1,0,1.6749,0,0,5.1863,3,1,3,2.847,7.9844,22.5166
-2.3979,109.0049,389.6913,0,1.2271,5.3082,0,2,8.4328,1,0,1,1,4.1026,1,0,36.5572,0,1,1,3.8162,2.344,17.3402
32.9554,110.5596,254.2635,1,-1.9975,24.4018,0,2,9.1758,2,1,1,0,2.0638,0,1,67.2539,3,1,3,3.4121,4.3081,24.7958
33.6253,89.332,129.3514,0,6.1291,8.2623,2,1,9.0048,0,0,0,0,3.4601,0,1,88.6364,0,0,0,0.9261,8.3137,13.0229
27.3359,61.0308,425.092,1,-8.8995,30.0178,2,1,5.4016,0,1,0,1,4.5976,0,0,16.1106,0,0,4,1.9554,10.7859,25.3094
7.1846,110.4284,331.8522,1,-6.0574,11.637,0,0,1.857,1,1,0,0,1.1543,1,0,9.6055,2,0,0,6.1641,5.6184,13.9958
-1.0931,56.2365,194.3046,1,-0.2161,38.5315,2,1,2.2216,1,1,0,0,2.5501,1,1,30.2138,3,1,2,4.1986,0.7418,19.6875
22.3693,80.644,457.8725,0,-6.847,32.2001,2,0,5.9025,2,0,1,0,1.5397,0,0,25.619,3,0,1,6.047,4.2333,17.3768
12.6061,38.9758,118.1033,0,3.8543,28.5802,2,2,9.184,2,1,1,1,4.6346,0,1,69.4243,3,1,2,2.8209,11.043,23.4723
-0.1185,112.976,180.7278,0,6.4153,41.2614,0,1,5.3043,0,1,0,1,2.4403,0,1,23.7666,3,0,1,4.1826,10.7149,10.8088
14.8071,42.6693,400.8188,0,4.0904,25.0137,0,2,9.3573,0,0,1,0,1.8534,0,0,62.3975,1,0,0,0.3102,4.5791,14.8705
-3.6245,50.2407,383.7512,0,-1.1943,13.4926,0,0,2.6225,0,0,0,0,3.7059,1,0,65.6007,2,0,3,3.1282,1.818,8.4954
31.3728,80.2321,215.7087,1,7.5678,31.0353,1,1,0.8635,0,1,0,1,3.1728,1,1,80.5584,2,1,1,6.1705,7.8604,21.9707
5.3512,98.7684,124.81,0,-7.2463,47.8531,0,1,7.9629,2,1,1,0,4.2677,1,1,60.3423,2,0,2,1.3674,3.9484,14.3585
21.5009,85.7416,443.2312,0,-4.7932,30.058,1,2,8.7938,2,1,1,1,4.0123,1,0,92.0983,3,0,1,1.3059,3.7865,23.9558
7.4684,50.8921,225.4791,0,-0.2092,31.481,2,1,4.4808,2,1,1,0,4.8987,1,0,69.2097,0,0,1,5.7823,7.747,17.7868
15.8027,30.0849,178.2854,1,-8.7732,46.7375,2,0,1.0244,0,0,1,0,1.3621,1,1,24.2443,2,0,4,3.3692,8.7053,18.3161
16.8684,98.1436,306.4247,1,-8.0863,25.7638,2,1,0.4233,2,0,1,1,1.3211,0,0,93.9866,2,0,1,0.655,4.9996,25.4409
2.3942,118.6687,464.0909,1,-2.0511,49.8179,0,2,0.6256,1,0,1,0,4.6294,1,1,18.998,3,0,1,5.3168,5.4683,19.4017
33.7834,102.8922,117.4186,0,8.8777,7.9831,1,0,4.3911,0,0,0,1,4.8229,0,0,18.5996,3,1,1,3.2692,10.4898,17.0085
26.0053,71.4186,406.3216,0,8.1683,26.852,0,1,2.3481,2,0,1,1,2.6265,1,0,74.2286,0,1,4,5.5085,4.4068,20.8891
32.58,111.3391,328.9893,1,-0.6805,10.645,0,2,4.6192,2,0,0,0,2.8235,1,1,51.9006,0,0,3,2.4515,3.697,17.0605
30.7931,66.8863,270.1796,0,-7.1568,22.6663,2,2,4.8849,0,0,1,0,2.4748,1,0,16.003,3,1,4,6.3911,8.4011,22.1965
18.916,77.2441,397.6322,0,-6.4378,8.5287,1,2,4.5809,2,1,0,0,4.1107,0,1,11.3933,0,1,1,5.3147,6.8395,13.8309
31.875,72.9417,486.3298,0,-2.4491,11.1264,0,2,6.1992,1,1,0,1,4.0831,0,1,16.9396,2,1,4,3.3338,1.4712,17.4923
-1.4603,70.2861,191.6825,0,-5.7985,10.54,1,2,6.794,1,0,1,0,1.8817,0,1,92.6467,0,0,0,6.8037,11.4221,9.4394
2.8393,99.7672,157.4589,0,-8.3405,16.0016,0,0,3.9595,0,1,0,0,2.5356,1,1,58.648,1,1,0,3.2254,8.5604,9.5995
-3.1909,77.4092,465.1527,1,3.4755,6.7303,2,2,3.3703,2,1,1,1,1.8497,1,1,72.9161,3,0,4,5.9889,10.9322,28.2204
8.0132,58.5045,367.5812,1,1.629,40.4671,0,2,3.684,1,0,0,0,1.1865,1,1,12.8018,3,1,2,1.9823,3.5953,18.3687
10.5471,53.2342,275.1944,1,-4.1741,11.0338,1,1,0.7018,2,1,1,0,1.2245,0,0,37.93,2,0,1,5.7637,7.1799,18.9149
5.854,33.3973,329.3038,0,5.579,20.8284,2,0,3.2163,1,0,0,1,1.5873,1,0,55.6948,1,0,1,4.2689,2.9523,12.5399
28.1495,82.4876,398.2456,1,5.519,0.8029,0,2,1.9991,1,0,1,1,1.1195,1,1,50.9752,3,0,1,4.3988,6.5626,22.0385
9.2701,50.6965,409.2128,0,-0.18,5.2441,1,1,2.9084,1,0,1,1,2.6927,0,1,37.2582,0,1,0,2.383,10.4872,17.5072
6.2374,43.3321,467.9577,1,-8.0693,44.8136,1,0,7.144,0,1,1,0,1.2561,0,1,9.5769,3,0,3,3.4877,10.7147,21.0139
16.7078,88.8447,270.7371,0,8.3694,41.858,2,0,9.8854,2,0,1,0,4.3896,1,0,68.2876,1,0,1,2.2721,11.87,21.6771
0.637,91.3088,217.3644,0,3.3732,42.0461,2,2,9.2355,0,1,0,0,3.8483,1,0,59.7929,1,0,0,3.4006,11.7994,17.0394
27.0879,97.6939,355.8657,1,-5.059,20.5677,0,0,8.2163,1,1,0,1,4.1346,1,0,42.0491,0,1,1,3.1201,6.2599,22.4301
-2.018,75.3219,266.2912,1,2.2091,7.0765,2,1,7.372,0,1,1,0,3.4699,1,1,92.7017,0,0,4,6.7834,3.7239,19.1437
34.4755,110.4649,337.8394,1,-1.8996,5.3947,0,0,9.4494,0,1,1,0,3.6555,1,1,75.6042,2,1,3,0.5626,11.132,25.041
25.8898,114.2708,267.9943,0,2.707,30.2801,1,2,7.5204,2,0,0,1,1.4536,0,0,36.4827,1,1,0,6.0385,2.8728,16.1847
