Vehicle Type,Vehicle Age,Charging Station Type,Usage Frequency (monthly km),Environmental Humidity (%),Vehicle Load,Charging Power (kW),Cable Length (m),Temperature (Celsius),Battery Capacity (kWh),"Thermal Management System (0=no, 1=yes)",Loss Percentage (%)
Sedan,7,Public,336.926553465619,55.844344346017834,Heavy,22.0,1.0,9.833601738849637,85,0,25.183279652230073
Truck,4,Home,181.44039922255408,47.79107821755569,Light,22.0,1.7524126850675588,17.223060971320646,60,0,23.931594148269653
SUV,2,Public,219.9159083837211,47.159703373364536,Normal,3.7,1.0,9.005334374387882,75,0,26.928933125122427
SUV,5,Home,456.45812410574143,43.26977626784962,Light,11.0,1.0,16.503357145827135,75,0,24.849328570834572
Sedan,3,Home,207.5444780530684,57.02189671571941,Normal,22.0,1.3204399403794485,1.5712692699596502,60,0,26.795966116197796
Sedan,9,Home,393.4328746725997,52.20576972261634,Normal,22.0,1.2554866805336493,-3.452343551595529,75,0,28.06821205058593
Sedan,6,Home,252.18133027663004,39.81623920636119,Heavy,3.7,1.0,6.256312016204724,60,0,27.67873759675906
SUV,1,Home,299.6824143232869,30.64831304490996,Normal,7.4,1.6542288043917333,16.521266448845946,40,1,22.332861112426677
SUV,3,Home,329.45926209433725,37.546477030645974,Normal,120.0,4.835270173526776,13.284499155990588,40,0,16.41073525556527
SUV,4,Home,89.90187895004013,32.14173007492696,Normal,22.0,1.26332428334206,21.361568725176085,75,0,23.403975886706245
Sedan,9,Public,153.72826645727008,51.5799416819216,Normal,50.0,1.1634515657742361,0.7531842390784309,85,0,24.381088935071432
Truck,6,Home,308.6333018787163,41.25484269561792,Heavy,11.0,1.0,9.243793808214752,100,1,23.351241238357048
SUV,4,Home,227.56924362161197,51.022766626236226,Normal,22.0,1.0,14.280557152894055,75,0,24.14388856942119
Sedan,1,Home,399.6581295274622,46.47249366850045,Heavy,11.0,1.0,5.310157502075041,60,0,26.88796849958499
Sedan,8,Public,139.38791191318754,56.900740534328335,Normal,7.4,1.0,16.379758932937147,60,0,25.384048213412566
Sedan,2,Public,356.5255056257987,66.19334143943004,Heavy,11.0,1.0,12.187685362220487,85,0,25.562462927555902
Sedan,8,Home,162.37787795956737,53.96569690669282,Light,11.0,1.1583180837416465,19.868374822586,40,0,24.40548407735362
SUV,6,Fast,264.7895005855571,33.09840304695654,Normal,11.0,1.0,17.887708191904643,60,1,21.62245836161907
Sedan,8,Home,193.56222357620362,30.8755240707454,Heavy,7.4,1.0,-3.5343953420403693,85,0,29.36687906840807
Sedan,6,Fast,490.24298804711975,40.66155831387695,Normal,22.0,1.1098985784719562,29.725594380500937,75,0,25.100068165336168
SUV,5,Home,166.05078370299643,51.248375561042685,Normal,11.0,1.0,-6.723025426818797,75,0,29.49460508536376
Sedan,5,Home,287.79403046309767,32.245251431363364,Normal,7.4,1.0,-0.5189476442313907,100,0,28.613789528846276
Sedan,10,Home,127.3163851979848,46.38669024199445,Normal,50.0,2.335644307484039,14.250540266635113,75,1,19.317714100414996
Sedan,10,Home,459.95701220705894,74.35128539475761,Light,50.0,1.7173110556588584,17.95963511119146,75,0,21.26672850559114
Sedan,8,Home,340.1282416177205,34.50095109260847,Normal,120.0,4.492627955387986,12.177207020497004,100,1,13.710872573594594
SUV,7,Public,313.6973089598668,77.42582548847868,Light,22.0,1.0,9.58004751965802,85,0,25.233990496068397
Sedan,8,Public,447.43129392917257,72.83358877545598,Heavy,7.4,1.0,14.177807107232045,75,1,22.824438578553586
